iter	RMSE
0	0.8922087555
1	0.8607794829
2	0.8308927941
3	0.8049212558
4	0.7783056869
5	0.7534165144
6	0.7284535837
7	0.704641526
8	0.6836076299
9	0.6636886109
10	0.6443990132
11	0.6244351073
12	0.6066946478
13	0.5907097795
14	0.5750404522
15	0.560551953
16	0.5459346782
17	0.5337210077
18	0.5209651831
19	0.5090372964
20	0.4983469961
21	0.4880776639
22	0.4774381402
23	0.468444255
24	0.4599196641
25	0.4518629722
26	0.4438968556
27	0.4359717597
28	0.4291024879
29	0.4229534593
30	0.4168621613
31	0.4111794865
32	0.4064381779
33	0.4011662679
34	0.3958488279
35	0.3913777052
36	0.3874280554
37	0.3843333901
38	0.3805195998
39	0.3769006611
40	0.3733174215
41	0.3696840856
42	0.3666382704
43	0.3636121047
44	0.3608017056
45	0.3577991418
46	0.3557273612
47	0.353161674
48	0.3506268254
49	0.3486677422
50	0.3466588326
51	0.3444715992
52	0.3426676817
53	0.3410387551
54	0.3396328812
55	0.3380351488
56	0.3374012513
57	0.3364907712
58	0.3351005979
59	0.3341079112
60	0.3331557126
61	0.331785637
62	0.3304164605
63	0.3293298115
64	0.3286329569
65	0.3277376073
66	0.3268802992
67	0.3265821989
68	0.3257930192
69	0.3250636577
70	0.3247127935
71	0.3237637007
72	0.3232264615
73	0.322389226
74	0.3218038405
75	0.3214050105
76	0.3211844672
77	0.3205399346
78	0.3198775517
79	0.3196639232
80	0.3190694994
81	0.3184677263
82	0.318077399
83	0.3174418498
84	0.3172407343
85	0.3166859295
86	0.3158520157
87	0.3153326167
88	0.3147601692
89	0.3141405209
90	0.3138166712
91	0.3133000021
92	0.3130876669
93	0.312774416
94	0.3122838337
95	0.311593012
96	0.3113111163
97	0.3108278249
98	0.3101303554
99	0.3094121493
