iter	Passed	Remaining
0	143	71667
1	144	36068
2	146	24280
3	147	18330
4	148	14741
5	150	12366
6	151	10660
7	152	9383
8	153	8355
9	154	7558
10	156	6955
11	157	6410
12	158	5934
13	159	5531
14	160	5189
15	161	4888
16	162	4624
17	163	4384
18	164	4171
19	166	3988
20	167	3814
21	167	3644
22	169	3506
23	170	3384
24	171	3265
25	173	3160
26	174	3059
27	176	2967
28	177	2881
29	178	2799
30	179	2721
31	181	2649
32	182	2582
33	183	2519
34	185	2458
35	186	2400
36	188	2353
37	188	2293
38	190	2247
39	192	2215
40	194	2172
41	195	2130
42	196	2090
43	198	2053
44	199	2021
45	201	1988
46	202	1949
47	203	1918
48	204	1886
49	206	1856
50	207	1827
51	208	1800
52	210	1774
53	211	1747
54	212	1722
55	214	1698
56	215	1672
57	216	1646
58	219	1639
59	221	1627
60	223	1605
61	224	1585
62	225	1565
63	226	1545
64	227	1523
65	228	1505
66	230	1487
67	230	1466
68	232	1451
69	235	1445
70	236	1425
71	237	1410
72	238	1395
73	241	1390
74	242	1376
75	244	1362
76	245	1346
77	247	1338
78	248	1325
79	249	1309
80	250	1296
81	251	1283
82	253	1274
83	254	1262
84	256	1251
85	257	1239
86	258	1228
87	260	1218
88	262	1212
89	263	1201
90	266	1196
91	268	1188
92	268	1176
93	270	1167
94	272	1159
95	273	1150
96	274	1140
97	275	1131
98	277	1122
99	278	1114
